prefecture,prefectureLabel,position,positionLabel,person,personLabel,start,psid
Q80434,Aichi Prefecture,Q51199698,governor of Aichi Prefecture,Q1617350,Hideaki Ōmura,2011-02-15,Q1617350-01d25f20-4a04-75ab-7d90-743f4f9d4371
Q81863,Akita Prefecture,Q51199071,governor of Akita Prefecture,Q438468,Norihisa Satake,2009-04-20,Q438468-fc96b382-406a-27e4-3410-61464da06f89
Q71699,Aomori Prefecture,Q51198747,governor of Aomori Prefecture,Q174982,Shingo Mimura,2003-06-29,Q174982-b4ad69e6-4c09-4b31-979b-b029c0a44043
Q80011,Chiba Prefecture,Q51199490,governor of Chiba Prefecture,Q11568706,Toshihito Kumagai,2021-04-05,Q11568706-794de32d-4a1c-1805-fb57-1150f8b61800
Q123376,Ehime Prefecture,Q11493583,governor of Ehime Prefecture,Q2438992,Tokihiro Nakamura,2010-12-01,Q2438992-155bd249-4805-c9fc-cc05-bd7b583fb3de
Q133879,Fukui Prefecture,Q51199499,governor of Fukui Prefecture,Q67498535,Tatsuji Sugimoto,2019-04-23,Q67498535-4DA41518-C391-4125-9D18-40071021B580
Q123258,Fukuoka Prefecture,Q51200134,governor of Fukuoka Prefecture,Q95162957,Seitaro Hattori,2021-04-11,Q95162957-d6e92bd5-4abe-53ce-62e2-edd42667a0c0
Q71707,Fukushima Prefecture,Q51199273,governor of Fukushima Prefecture,Q17989197,Masao Uchibori,2014-11-12,Q17989197-24b6ec3c-4011-1fef-7e46-5e13a9f92a75
Q131277,Gifu Prefecture,Q51199690,governor of Gifu Prefecture,Q982638,Hajime Furuta,2005-02-06,Q982638-C814B716-C851-4615-BBA5-A6806B5B4853
Q129499,Gunma Prefecture,Q51199288,governor of Gunma Prefecture,Q1655599,Ichita Yamamoto,2019-07-28,Q1655599-dae9db6c-485c-8eaf-941b-8a4c80b0e91e
Q617375,Hiroshima Prefecture,Q51200009,governor of Hiroshima Prefecture,Q1485068,Hidehiko Yuzaki,2009-11-29,Q1485068-9bf85c95-41fc-4d39-f100-ea37cdf4a33e
Q1037393,Hokkaido Prefecture,Q33134383,Governor of Hokkaidō Prefecture,Q11649100,Naomichi Suzuki,2019-04-23,Q11649100-6fb91a4d-309c-4fe7-a4fc-875e19ca88b3
Q130290,Hyōgo Prefecture,Q51199843,governor of Hyōgo Prefecture,Q107917854,Motohiko Saitō,2021-08-01,Q107917854-ab7e4cfd-4b5d-7632-ecb8-ca96450ad069
Q83273,Ibaraki Prefecture,Q51199276,governor of Ibaraki Prefecture,Q38081041,Kazuhiko Ōigawa,2017-09-26,Q38081041-50afa532-4abb-4375-c89a-e6027b175320
