position,title
Q208233,Emperor
Q274948,Prime Minister
Q1767791,Deputy Prime Minister
Q8191055,"Minister of Agriculture, Forestry and Fisheries"
Q21027733,Minister of Communications
Q6500838,Minister of Defence
Q108373704,Minister of Digital
Q6866106,"Minister of Economy, Trade and Industry"
Q14917211,Minister of Education
Q842359,"Minister of Education, Culture, Sports, Science and Technology"
Q11500124,"Deputy Minister of Education, Culture, Sports, Science and Technology"
Q1104488,Minister of the Environment
Q6500849,Minister of Finance
Q11634582,Senior Vice Minister of Finance
Q1355043,Minister for Foreign Affairs
Q841962,"Minister of Health, Labour and Welfare"
Q11612810,Minister of Home Affairs
Q11065521,Minister of Infrastructure
Q108294861,Minister in charge of Information Technology Policy
Q1578065,Minister of Internal Affairs and Communications
Q841904,Minister of Justice
Q842012,"Minister of Land, Infrastructure, Transport and Tourism"
Q11643353,Minister of Posts and Telecommunications
Q11394667,"Minister of State for ""Challenge Again"" Initiative"
Q6866352,Minister of State for Consumer Affairs and Food Safety
Q11394673,Minister of State for Decentralization Reform
Q11394685,Minister of State for Disaster Management
Q11394680,Minister of State for Economic and Fiscal Policy
Q11394683,Minister of State for Financial Services
Q11394688,Minister of State for Food Safety
Q11394678,Minister of State for Gender Equality
Q2325078,Minister of State for Gender Equality and Social Affairs
Q11394677,Minister of State for Industrial Revitalization Corporation
Q17224475,Minister of State for Measures for Declining Birthrate
Q11394672,Minister of State for Nuclear Emergency Preparedness
Q11394675,Minister of State for Okinawa and Northern Territories Affairs
Q11394668,Minister of State for Personal Information Protection
Q27972427,Minister of State for Quality-of-Life Policy
Q11394684,Minister of State for Regulatory Reform
Q11394679,Minister of State for Science and Technology Policy
Q11394674,Minister of State for Space Policy
Q245696,Minister of State for Special Missions
Q11394669,Minister of State for the Corporation in Support of Compensation for Nuclear Damage
Q17224467,Minister of State for the National Strategic Special Zones
Q11394666,Minister of State for the New Public Commons
Q11394670,Minister of State for the Nuclear Power Policy and Administration
Q20041398,Minister of State for the Promotion of Overcoming Population Decline and Vitalizing Local Economy in Japan
Q30925951,Minister of State for the Social Security and Tax Number System
Q1078482,Chief Cabinet Secretary
Q6566884,Chief Justice
Q11394689,Director of Cabinet Intelligence
Q11394710,Special Adviser to the Prime Minister
Q11632428,Superintendent General
Q106335308,Commissioner for Cultural Affairs
Q48269093,Governor of the Bank of Japan
Q28869611,President of the House of Councillors
Q22960931,Speaker of the House of Representatives
Q51199698,Governor of Aichi Prefecture
Q51199071,Governor of Akita Prefecture
Q51198747,Governor of Aomori Prefecture
Q51199490,Governor of Chiba Prefecture
Q11493583,Governor of Ehime Prefecture
Q51199499,Governor of Fukui Prefecture
Q51200134,Governor of Fukuoka Prefecture
Q51199273,Governor of Fukushima Prefecture
Q51199690,Governor of Gifu Prefecture
Q51199288,Governor of Gunma Prefecture
Q51200009,Governor of Hiroshima Prefecture
Q33134383,Governor of Hokkaidō Prefecture
Q51199843,Governor of Hyōgo Prefecture
Q51199276,Governor of Ibaraki Prefecture
Q51199497,Governor of Ishikawa Prefecture
Q51198750,Governor of Iwate Prefecture
Q51200015,Governor of Kagawa Prefecture
Q51200145,Governor of Kagoshima Prefecture
Q51199494,Governor of Kanagawa Prefecture
Q51200141,Governor of Kumamoto Prefecture
Q27697103,Governor of Kyoto
Q51200133,Governor of Kōchi Prefecture
Q51199837,Governor of Mie Prefecture
Q51199070,Governor of Miyagi Prefecture
Q51200144,Governor of Miyazaki Prefecture
Q51199689,Governor of Nagano Prefecture
Q51200139,Governor of Nagasaki Prefecture
Q51199845,Governor of Nara Prefecture
Q19962694,Governor of Niigata Prefecture
Q51200142,Governor of Ōita Prefecture
Q15063280,Governor of Osaka Prefecture
Q51200007,Governor of Okayama Prefecture
Q51200146,Governor of Okinawa Prefecture
Q51200136,Governor of Saga Prefecture
Q51199298,Governor of Saitama Prefecture
Q51199840,Governor of Shiga Prefecture
Q51200006,Governor of Shimane Prefecture
Q51199693,Governor of Shizuoka Prefecture
Q51199279,Governor of Tochigi Prefecture
Q51200013,Governor of Tokushima Prefecture
Q11525354,Governor of Tokyo
Q51200002,Governor of Tottori Prefecture
Q51199496,Governor of Toyama Prefecture
Q51199847,Governor of Wakayama Prefecture
Q51199075,Governor of Yamagata Prefecture
Q51200012,Governor of Yamaguchi Prefecture
Q51199686,Governor of Yamanashi Prefecture
